Sig	Name
754	mo4l1
901	ddx6
704	nup54
824	laml3
913	spb6
917	mcph1
796	pdc6i
611	helb
765	sae2a
953	fancg
1012	nup37
769	nsun2
995	tcph
1049	actg
795	hsp72
889	ldhb
831	ran
1131	mre11
1104	nu107
981	fancf
592	ubp1
867	sept7
1083	blm
919	caza1
645	uk114
778	hnrpm
603	nup88
800	pur9
828	ddx1
892	flna
805	plec
756	myh9
784	smo1b
806	prs10
824	nsf1c
787	myef2
870	ddx21
587	md2l2
684	d11l8
898	src8
776	X1433e
918	nu153
864	arp3
766	fubp1
1091	smc5
760	ubc9
1180	vrk1
908	hsp7c
821	cand1
1156	pp1b
775	dbnla
846	anxa5
860	roaa
711	imb1
774	nono
743	fkbp3
727	g3p
706	psmd3
775	kif2a
761	rang
686	sae1
898	zn207
864	arc1a
542	dnli4
1178	uhrf1
694	dreb
793	pcbp2
731	ddx5
913	cul4a
923	wdr76
954	fp100
658	sf3a1
646	psma7b
617	khdr1
567	setx
810	pgk
704	ro32
627	fus
572	epcam
728	tpis
702	tera
771	tagl2
911	h33
831	rad50
853	npl4
771	sep2a
1034	ep400
679	csrp2
714	rbp56
760	aldcb
655	psma1
679	cndp2
642	paxi1
616	myof
735	hat1
1110	smca5
715	sept9
686	mcmbp
954	phr
889	atad5
789	capzb
746	f115
686	rtcb
1210	cdk8
699	uchl1
727	f10a1
794	ftcd
741	pp2bb
494	pms1
642	ews
740	cul3a
640	tpm3
803	dnjb1
855	k2c8
773	k118b
649	psmb1
609	atad2
650	gstmu
722	ddx3
773	anxa4
538	fap24
720	lrc40
737	cul1
861	nucl
665	sahhb
1003	pp1a
482	ci142
600	frg1
641	ppm1g
899	mdc1
757	u3ip2
611	l14ba
723	ufd1
572	cdk1a
666	g6pi
818	rmi1
738	tydp1
684	tktl2
705	exo1
846	rir1
880	rnh2a
675	pgam1
1146	tif1b
732	cenps
762	pgm1
717	ppia
875	zg53
752	k1c19
594	X4ebp2
870	nse2
750	tcpz
664	syac
881	nup43
660	ubc12
765	wdr1a
694	cdv3a
620	psmd6
695	prdx6
689	cap1
503	rn219
755	gsto1
1062	seh1a
855	tcpe
966	rnh2c
642	rab1a
919	nup85
1019	pias4
572	dcnl5
837	sarnp
635	stag2
656	ubp5
550	pab2a
470	sept11
945	b4
641	lpp
709	cpne1
640	psmd8
858	cstf2
635	psma6
642	park7
937	kf22b
698	glrx3
545	nhej1
675	ru2a
681	dnj6a
659	clh
654	svil
608	plst
1111	atrx
445	rn168
648	cor1c
647	npl1b
575	dhx15
629	arpc2
636	roa0
897	sf3b1
676	tebp
658	bub3
608	an32b
950	kif4
634	clip1
669	mdhc
574	pin1
763	epaba
490	rfip5
576	adk
641	if4g1
1492	as1ab
982	cd027
676	tbb4
621	np1l4
659	smd2
548	edc4
977	nop58
1045	ccnc
900	nu133
1277	daxx
718	numa1
474	pura
712	arp2a
1103	rpb2
1088	kif2c
607	hba3
701	hs90b
1159	ef1d
992	rnh2b
597	cul5
632	rd23b
624	arpc5
671	myl6
636	dct2a
737	ctk2
535	syf1
641	pp2ba
707	cenpt
503	nupl1
611	rad52
518	mov10
803	stip1
561	srsf2
641	copa
499	helq
559	psma2
600	hirp3
585	psmd13
542	guaa
701	pwp1
626	ca086
477	ical
523	bcd1
1084	dek
944	ybx2b
636	gdib
686	if5a1
961	acbp4
608	psmd4
532	xpo7a
859	nu160
573	sgta
667	tctp
871	hells
669	pinx1
649	enoa
701	grp78
642	anxa3
1186	ttf2
702	tcpq
672	dc1i2
532	myh10
585	tysy
596	fcl
574	prdx5
488	vata
547	canb1
594	uchl5
529	fance
687	tba4a
522	nu188
427	grsf1
868	eif3a
500	kapcb
575	s10ab
588	hsp74
560	desm
1056	ef1b
512	taldo
444	oxsr1
504	huwe1
963	pd5bb
542	sart3
665	mum1
578	kcrb
703	pd5aa
553	plap
566	X4et
531	ap1g1
561	aldr
655	pms2
1202	orc2
445	f1142
494	marcs
533	sfpq
860	rmi2
1126	u520
633	arpc4
483	phax
522	ctu2a
584	pdia1
448	anx11
476	md1l1
445	dons
513	fip1
541	actn1
414	stx7
950	recq1
553	if4b
490	tia1
394	bccip
421	grwd1
1172	dmap1
536	pnpo
605	vatb2
964	setb1
609	mp2k1
583	lima1
393	sept10
472	chm4b
587	mlrn
495	psmb6
402	ddi2
525	psme1
575	kpym
544	ndrg2
536	csn3
661	kcy
511	bag6b
901	ckap5
422	upk3a
904	bi51b
481	ythd1
1000	inceb
497	vat1
975	elys
410	po210
407	wapl
508	chsp1
592	melk
491	kinh
433	sypl1
558	pgfs
612	i4a3a
482	copz1
579	psmd7
522	strap
597	mif
523	cpin1
592	spee
389	vapb
526	ndka2
590	caf1b
491	tacc3
604	ap1b1
528	bzw1
452	figl1
402	gst26
450	hpbp1
446	luc7l
582	loxe3
508	psmb5
430	lap2b
513	a16a1
363	stt3a
509	actn4
368	lemd1
603	kif14
521	mep50
557	pp1r7
611	dctn1
392	pfd1
649	cndd3
570	tba1d
525	glyc
536	cbr1
567	csn2
707	dnjc9
552	gran
648	tdif2
675	ddx46
467	mces
673	tr112
374	nupl2
733	nolc1
536	xpo1
639	skp1
580	st6b1
603	lypa2
481	csn7b
702	srbd1
720	t2fa
552	tln1
431	psmf1
545	csn5
343	safb2
484	can1
433	tes
448	srsf5
580	ima7
707	eme2
495	estd
545	pur2
574	bpnt1
817	tcpd
1286	ubn2
556	ap2m1
517	pyr5
628	ipo7
604	arl3
550	psmb2
847	taf6
491	endua
652	sgol1
465	dyr
446	kprb
1174	ruvb2
482	can2
494	ptgr1
325	ra51c
432	clcb
509	psma4
576	aatc
486	eif3j
669	nse1
484	rab5b
476	laml1
512	agm1
814	fmn2
565	ca1ab
558	nqo1
716	nse4a
438	rpp30
580	an32e
440	ube2o
955	apex1
484	carm1
428	atg7
562	acly
677	ppih
454	zfr
1003	ssrp1
352	brcc3
421	enpl
476	nhrf1
520	padi2
410	vta1
549	mare2
1119	abcf1
322	p4r2a
476	nsf
426	tpd54
532	cirbb
517	nudc
402	psmb4
466	parp2
488	rsf1
472	aqr
568	sysc
483	ub10a
431	rpc6
656	hp1b3
499	txnd9
451	pan2
338	aplf
1232	baz1a
547	ap2a1
444	sept6
924	aukbb
480	tmod3
468	imdh1
339	zn346
355	sar1a
496	psme3
549	cn166
520	pcm1
487	anm5
521	r51a1
428	pyr1
639	kd3ab
456	hnrpc
434	aspc1
513	arf1
754	tho4b
517	psmd12
462	psmd10
476	ipo9
368	zc11a
807	rs9
407	kap2
526	srsf9
438	atg3
336	gle1
420	X41
354	ci078
496	ub2l3
916	enp1
502	drg2
491	psde
474	fubp2
819	prp8
525	arly
497	tpd52
401	vate1
547	mtpn
719	prc1
897	aptx
399	vamp3
461	vps4b
471	ddx4
308	pif1
657	u5s1
466	tbcb
1087	rs2
541	copb2
473	glgb
375	imdh2
530	ark72
426	ykt6b
375	gpx1
508	rad54
502	lkha4
422	pepl1
462	glod4
546	mtna
509	tt21b
543	prkaa
362	zn326
762	tripc
465	tbca
481	canx
546	ppm1a
538	copd
422	puf60
429	kcc2b
445	kpyk
452	ect2
1319	smca4
470	pi42c
535	cdc37
1070	rssa
496	bdh2
460	rsmb
491	fnta
426	lztl1
363	fa98a
909	rpa1
472	ubl4a
377	nbp1a
440	lrba
434	gcn1l
517	vinc
1344	hira
502	rtc1
520	gpx4
507	c1tc
497	syg
354	dctn4
506	tkt
467	huti
463	dcup
612	kc1e
371	sf3a2
479	sc23b
364	pura2
454	pur4
512	anm1a
386	ram
468	gdir1
774	incea
496	gsta3
437	psa
381	vath
404	spta2
753	vigln
511	hnrpq
670	cetn3
386	if122
420	tbcd
453	sera
673	ei3gb
464	idhc
495	kthy
619	if4a1
697	pp2aa
312	xrcc3
424	ugpa
434	sod1a
800	dkc1
370	rb11a
475	gemi5
393	erf3a
402	spre
434	an32a
380	ce350
281	neil3
411	h1x
1062	npat
498	tba1
462	rbmx
366	rtn3a
1028	hmgb2
467	sf3b2
429	plin3
502	pur8
458	uba6
455	vita2
390	sias
554	set
400	ncbp2
557	mnd1
961	c8ap2
742	rpb3
516	nupl
615	spt5h
831	brd7
327	stam2
656	rbm39
585	dnjc7
379	r3hc1
1059	ef1ga
399	gstt1
445	dhr11
428	erf1
459	ppp5
828	nop56
595	dx39a
416	vatg1
428	vac14
330	at1a1
664	rpa49
333	rasa1
457	prps2
961	ef2
356	tnpo1
483	sgt1
1410	mta2
378	psmb3
494	g6pd
466	dpcd
409	cpsf3
336	dus3l
405	decr2
810	if6
425	ppce
390	mk12
375	i4e3a
432	nup53
400	dvl2
489	txnl1
463	sympk
417	ndrg3
781	apc7
334	tri33
553	lis1
287	rlp24
314	mlf1
359	neb1
488	snaa
332	lbh
879	coil
374	nup1a
1191	orc3
463	lgul
459	ube2k
317	nudt9
765	nh2l1
469	ak1a1
366	ca112
456	lsm11
511	prdx1
902	bore2
443	if4h
484	ube2n
291	prp16
1103	med23
628	tdif1
408	pfd2
277	cenpk
353	adm1a
452	caza2
727	brd3
429	clic1
713	rs13
373	tdrd6
297	erl2a
906	rs4
337	trxr3
577	smrcd
643	eloc
455	pygl
739	prpf3
1197	arid2
888	mcaf1
323	hgs
463	abcf2
432	mtap
310	alg8
1091	ep300
352	shlb1
311	lnp
414	snx1
379	naa15
495	X6pgd
553	rpb1
377	sdcb1
350	efhd1
532	smd1
333	macd2
439	ipo4
297	ari2
804	sec13
740	magg1
486	gamtb
417	cbx5
438	copg
536	dc1l1
320	ub2g1
662	eif3i
510	ppid
471	pdli1
414	cnbp
351	prps1
470	copb
421	gnl1
956	cabin
700	rla0
1072	pb1
287	fxl19
430	abheb
308	dtlb
477	rs15a
377	ddah1
635	denr
419	zc3ha
622	h2ax
944	trrap
568	rs25
372	wdr70
364	tnpo2
387	dhr12
333	rbm14
389	ampb
364	ube3a
335	c43bp
377	cb39l
400	pon2
1158	tf2h1
394	pyg1a
327	gga1
350	abcf3
412	cope
402	ret1
448	ar19b
668	hop2
956	rs21
438	ost48
396	dhso
658	npm
380	otub1
345	tfg
398	thio
334	hnrl2
474	pak2
473	gmds
421	thum3
330	bre
561	gar1
1274	chd4
320	hasp
322	rpn1
363	ipyr2
377	dhpr
432	cata
320	rhg17
761	acrc
295	ahsa1
477	ppil1
1395	ari1a
377	sk2l2
377	rfip1
388	rir2
565	actz
481	fkbp4
399	thtm
334	hn1
410	tyw2
438	ubp14
403	zo84
328	pgrc1
447	emal4
302	anxa1
284	ensa
496	rpc1
429	med12
295	fxl12
298	ccd94
509	sltm
451	hutu
549	cpsf1
319	ki15a
896	phf10
430	ppac
328	sywc
359	pfd6
430	ru17
441	byst
485	ola1
394	al9a1
470	pdcd5
546	ckap2
293	myg1
316	ytdc2
451	enah
1000	rcc2
342	cs021
492	syhc
310	fxi2a
611	zmym2
773	rpac1
582	ki67
364	psmd9
827	ipo5
409	rhoa
414	ap1m1
299	twf2b
395	if5
311	ddx51
896	sp16h
615	tcrg1
526	eif3b
383	dpp3
429	ampl
1272	tcf20
526	sbno1
283	pcf11
669	cetn2
400	icln
312	ddx43
387	csn4
338	chk2
372	thap4
658	rs8
349	orn
353	pebp1
443	vasp
317	ttl12
337	asna
341	rpe
1166	orc1
544	h2azl
498	mk01
328	aibp
524	h2a1
438	thop1
365	med11
329	st65g
410	rpn2
401	abce1
290	tif1a
374	tprg1
452	serc
685	dpolb
407	pe2r
332	eaf6
741	if4g2
435	arpc3
324	gors2
463	srrtb
514	h1a
317	gds1a
916	rs14
340	sc31b
317	t7l1b
305	md2l1
346	ovch1
1166	chd8
287	cbwd1
364	npa1p
280	kin17
373	sc24c
333	k6pf
422	cbs
354	psme2
1058	med17
400	lrif1
483	cbx2
695	rs18
272	srfb1
335	casp7
307	snx5
467	X2aba
334	snag
772	dnja2
1168	ehmt2
666	top1
279	purbb
450	desp
951	sf3b3
460	hnrpk
433	if4e
478	kat5
320	pfd3
375	osbp1
581	thoc7
700	md27a
449	dhx9
429	tba1c
389	X143ga
573	smtn
416	mlf2
317	ttc27
980	hdac2
271	nacam
470	sync
981	ercc2
321	ugdh
965	X2aab
724	rpab1
362	ret2
433	nsd2
1303	rbbp7
299	hnrpu
341	ttf1
334	rabek
270	sc24a
423	c19l2
377	csn6
485	thyn1
335	nudc1
406	adhx
347	g3bp1
304	wdr4
413	gnpi2
1041	ef1a1
446	uchl3
426	erh
304	pspc1
350	pk1ip
317	alkb5
567	casc5
303	te2ip
266	reep5
328	vatc1
675	prp4
329	ppie
551	ppil2
341	nmrl1
405	ppil3
287	coro7
304	zn830
729	rs3aa
268	glna
924	int3
369	csn1
851	habp4
287	ranb3
642	vps72
372	dnm1l
325	arp10
452	hap28
943	zmym4
266	snx3
320	ube2c
539	srsf3
635	rs10
409	cdc42
508	rpp38
1241	cdc6
858	rs12
497	tadbp
282	X6pgl
299	rbm25
360	pp4c
386	rpia
393	ima4
866	fl2d
1241	smrc1
467	srrm2
300	bhmt1
283	pepd
533	pwp2
350	gnpi1
492	tox4b
276	upk2
356	al7a1
711	rs11
272	sf01
285	ru1c
441	kat8
685	no66
492	ptbp1
387	rpc2
308	myo5a
282	larp7
374	med20
911	mat1
280	hypk
310	nhp2
322	kc1a
598	prp6
321	thg1
489	ks6a3
298	p121c
312	wdr46
271	ssu72
309	ck054
268	cotl1
1134	ruvb1
1013	if2b
406	hnrpr
310	ncoa5
753	rl32
284	qorl1
473	wdr55
332	deoc
279	ipp2
833	tcp4
359	edf1
830	brd2
445	rs23
792	rs16
437	map4
312	rpb11
334	gmfb
1194	mta1
775	chd1
769	int2
800	fbrl
728	med24
831	mus81
427	ilf2
309	gwl
586	med14
687	m89bb
507	h1b
768	rs31
667	sgf29
519	med22
370	glrx1
417	bud31
528	med15
306	mtr1
268	cenpe
909	wiz
433	cpne3
291	zo1
558	gfp
446	mbtd1
389	rl10a
796	wdr43
383	cdc73
286	pur1
537	h2aw
566	tb1rb
736	med26
969	if2g
914	smrd2
623	eif3f
409	wdr35
718	rl26
884	gblp
269	ecm29
387	prosc
276	tt39b
280	X2a5g
609	med16
978	orc5
494	tcpb
1142	adnp
302	dnpep
1059	ubf1b
556	smd3
336	h10b
617	rs19
458	rpa34
279	crnl1
624	cdca2
303	pote1
394	rheb
687	ima2
593	int11
332	zp3
515	rla1
366	srsf1
862	erc6l
738	rl13
289	gpda
1393	sall4
306	cing
488	c124a
527	rl35a
997	int6a
885	hmgb3
286	mlrm
324	xrn2
483	taf6l
677	dal1b
921	tbl3
399	mrgbp
606	cdk9a
570	nog1
449	elob
472	brd8
384	hint1
410	prp39
325	gdia
510	srrm1
301	cpsf2
1310	hcfc1
340	gptc4
286	rab14
947	ell2
631	exosx
324	rab7a
839	cbx3
268	mprip
990	hic2
755	sin3a
558	ima1
549	cdc5l
535	piwl1
669	heat1
587	rcc1
746	tpx2a
717	wdr36
969	cdka1
628	rl31
298	lsm10
597	dpy30
1055	smce1
792	wdr5
645	rbbp5
930	rl23
505	bap18
335	tra2b
340	cenpu
339	rab2a
301	if140
543	rl3l
458	ra54b
358	ubxn7
882	int1
1034	tf2h4
442	wdr75
934	sossc
532	utp15
599	rl18a
299	radi
636	ercc3
874	pa2g4
277	psmd5
612	aurab
829	int9
907	int4
704	bptf
268	snx2
501	fbx38
693	int10
654	ash2l
285	inf2
636	srpk1
502	epc2
445	snrpa
273	gld2b
623	k0947
863	sox3a
579	tad3b
511	cla1a
544	rs6
365	srsf4
670	ddx23
557	suv91
339	spag5
505	med10
1441	p66a
741	int12
419	rl34
713	prp19
723	cdyl1
337	pp1ra
428	glyr1
587	med21
359	ub2d2
523	int5
365	fa76b
272	txnd5
1082	co044
959	kdm1a
571	rl9
430	tiar
341	dda1
383	yets2
620	nsapc
277	dcps
320	terf2
355	ppib
276	ap3b1
380	arp5l
568	smca2
871	int8
424	dhx33
394	med29
787	int7
618	rpa2
594	med4
1057	eaf2
299	ap2a2
307	apc5
563	eif2d
476	wdr61
580	ddx41
963	acl6a
923	tf2h2
294	spf27
722	cenpc
1032	mdn1
318	wdr33
283	supt3
400	ms3l1
588	rl6
510	ogt1
567	ell
531	rl28
342	pimt
954	top2a
299	wap53
1060	zmym3
680	eif3c
505	prc2c
796	aimp1
945	syrc
842	mll4
1076	orc4
1132	phf14
312	eif1b
320	apc1
291	gemi4
915	kdm2a
282	bt3l4
567	m18bp
625	taf9
392	ing3
374	zn250
553	rl7
265	cdc16
334	sob1b
507	rl27a
525	dido1
574	srcap
517	rl1d1
671	cdk7
276	plak
558	csk22
327	mier2
455	ctr9
871	syq
347	dca17
773	yets4
733	z518a
574	adnp2
741	syfb
386	rl30
276	dgcr8
310	med25
471	kat2a
718	rl10
309	hs7ea
559	rl36
404	rl12
1186	hda1b
361	rpc4
781	if2a
277	cenpo
591	med8b
478	rl14
1174	mbd3
744	ccnh
334	rl22
473	rl4b
401	med28
291	med1
604	rb15b
441	rnp1b
536	rl13a
619	zik1
428	rl24
334	xpc
318	srsf7
267	ampm1
947	syk
491	hmgx4
822	syic
326	pinin
363	tada1
422	end4
286	hs90a
294	atx7
668	nol6
291	eif3k
437	syyc
314	rpa43
839	ehmt1
366	gkp1b
293	apc4
1134	thoc2
534	csk2b
337	ccnk
446	zc3hd
281	lrc47
703	rl17
286	no29
456	nud16
460	dlgp5
318	mcs1b
556	nat10
893	snf5
389	wd82a
942	rs17
717	cir1a
424	dock5
275	fkbp2
360	ap3d1
406	zo10
331	rla2
506	rs26
519	rl15
326	rbak
642	rl21
341	cdc27
612	rl7a
984	ctbp2
317	med19
528	rl8
321	ctbl1
494	zbt17
340	cg026
431	ei3eb
853	zn638
294	lc7l2
707	tf2h3
429	tfam
427	taf10
273	m4k4
592	rl36a
1164	if2p
925	tho5a
590	rl11
903	thoc1
440	thoc3
1043	syep
551	rs5
710	h2av
271	drg1
762	csk21
604	arp6
711	wdr18
552	wdr3
352	hdx
675	zn318
396	men1
630	hm20a
296	matr3
320	ce192
320	taf5l
267	hdgf
343	cenpp
436	ctro
533	gemi
266	bore1
438	rl35
266	rpc5
271	epc1
995	sydc
434	eme1
652	zn609
317	zn271
356	pr38a
626	ccnt2
365	cdk12
723	smu1
452	sgol2
818	rl23a
309	strbp
825	smrd1
534	smc2
707	thoc6
426	ei2bd
516	vir
305	bcor
296	baz2b
350	pur6
598	crocc
412	sp13a
685	pogz
613	chap1
933	syvc
428	tf3c1
711	sylc
455	cdt1
721	bcl7a
989	zhx2
647	rs7
354	rl27
323	vezf1
466	paf1
342	ci030
461	lmbl3
465	rs24
301	cdc23
371	rp9
826	ssxt
558	ef1a2
567	psip1
445	trm61
303	kat7
840	rbp4b
371	tf3c4
467	rs15
370	narg2
577	sytc
306	h10a
396	suv92
514	rrp5
402	ikzf4
703	zn618
753	rcor2
325	eloa1
626	cs029
491	pelp1
468	rpab3
1096	requa
633	vegta
567	eif2a
449	tbg1
359	ring2
306	ttc14
551	ubql1
565	hsf2
538	lin54
552	rreb1
478	ei2bg
514	t2fb
403	zn143
295	rrp7a
548	odfp2
668	baz2a
476	ei2ba
531	gtse1
644	ari3a
749	zn217
1025	zhx3
324	homez
310	creb1
508	smc4
279	zbt16
830	zn462
355	poc5
502	dhx8
536	ei2be
726	po2f1
690	sp1
721	sycc
529	sytc2
466	hmbx1
386	senp3
321	shoc2
678	hmgb1
1162	chd7
352	orc6
396	zn451
327	tf3c3
881	tlk1
282	ari3b
341	brd9
326	gtd2b
645	pkcb1
394	jerky
324	mtus1
267	mink1
394	ei2bb
276	gcp2
325	cep55
349	snut2
738	ubql4
314	prc2b
276	tf3c2
739	eif3d
279	lyar
291	ytdc1
442	zn281
319	pogk
419	cx056
701	tlk2
299	foxh1
301	dnjc2
328	nfrkb
301	elmo1
408	noc2l
372	mce1
528	zn687
447	ctbp1
320	hm20b
479	syfab
435	tyy1
477	gscr2
439	rlf
422	rcor1
574	symc
316	ck095
443	hdgr2
404	anln
283	rrmj3
265	rfx2
895	gnl3l
320	aff4
273	gnl3
299	kat6a
315	nemf
509	aimp2
783	aff1
335	kcab2
454	pf21a
353	zn516
287	tex10
279	dhx37
626	sda1
308	zn292
