NCG	NCC	NHC	NHU	NHG	Name
#!{Type}E	E	E	E	E	T
-1.24126744270325	NaN	NaN	NaN	-1.49331223964691	sc23b
-1.16825592517853	NaN	NaN	NaN	-1.83809924125671	sc24a
-1.45312488079071	NaN	NaN	NaN	-1.61118447780609	sc24c
-0.897128641605377	NaN	NaN	NaN	-1.96077013015747	sc31b
-1.19956040382385	0.191542312502861	1.27411472797394	0.524824798107147	-0.7909215092659	scai
-1.17234039306641	NaN	NaN	NaN	-1.73685276508331	scc4
0.871581971645355	-0.381798952817917	-1.10714638233185	-1.02559733390808	0.338111340999603	sda1
-1.70228254795074	NaN	NaN	NaN	-1.62363469600677	sdcb1
-1.04610872268677	-0.348786175251007	0.859432220458984	1.19309651851654	0.509532868862152	sec13
-1.35695719718933	0.12274968624115	0.830903649330139	1.02986443042755	-0.62656044960022	seh1a
0.0710298344492912	-0.662591934204102	-1.52214980125427	0.128469228744507	0.637735605239868	senp3
-1.12043809890747	-0.883346259593964	-0.202356815338135	1.08570301532745	-1.42831516265869	senp6
-1.15811109542847	NaN	NaN	NaN	-1.37804937362671	sep2a
-1.04326164722443	NaN	NaN	NaN	-1.58309066295624	sera
-1.18420207500458	NaN	NaN	NaN	-1.61695218086243	serc
1.78590846061707	-0.636616230010986	-0.233468294143677	0.539488971233368	-0.746723771095276	set
-1.38550198078156	0.291540205478668	0.116803735494614	1.35585248470306	-0.378694474697113	setb1
-1.43827545642853	0.22871558368206	0.746422290802002	1.01088213920593	-0.547744512557983	setx
-1.40174269676208	NaN	NaN	NaN	-2.29328656196594	sf01
-0.372418135404587	-1.32843172550201	1.39897871017456	0.66708505153656	-0.742847561836243	sf3a1
-1.30962216854095	NaN	NaN	NaN	-1.92750072479248	sf3a2
0.12382946908474	0.375348776578903	0.767086207866669	0.401043325662613	-1.9965306520462	sf3a3
-0.131695121526718	-1.09283816814423	1.42208218574524	0.84380829334259	-1.02655351161957	sf3b1
-0.396549701690674	-0.950832426548004	1.88001215457916	0.199909970164299	-0.585300505161285	sf3b2
-0.0569573603570461	0.101204268634319	1.12619709968567	0.901764273643494	-0.420477867126465	sf3b3
0.0380975753068924	0.0331240817904472	1.13694906234741	0.871059775352478	-0.413335084915161	sfpq
0.124350316822529	0.808451473712921	0.429322779178619	0.467264890670776	0.147132858633995	sgf29
-0.976309478282928	NaN	NaN	NaN	-1.809534907341	sgol1
-1.09782016277313	NaN	NaN	NaN	-1.51515376567841	sgol2
-0.923886299133301	NaN	0.936850607395172	-1.05300486087799	-2.12139511108398	sgt1
-1.09658348560333	NaN	NaN	NaN	-1.65864861011505	sgta
-1.32590305805206	NaN	NaN	NaN	-1.39488315582275	shlb1
-1.93661689758301	NaN	NaN	NaN	-1.7822048664093	shoc2
-1.69037437438965	NaN	NaN	NaN	-1.82395029067993	sias
-0.923283517360687	0.703394591808319	-1.06283581256866	-0.286914467811584	0.00733640743419528	sin3a
-1.12321579456329	-0.422897040843964	0.346259146928787	1.19985365867615	-2.11887836456299	siva
-1.18218457698822	NaN	NaN	NaN	-1.72430837154388	sk2l2
0.905052006244659	0.756547629833221	-0.0441229492425919	-0.106614626944065	0.352235615253448	skp1
