pCTR_no_LacI_with_LacI	Un_nicked_LacI	Un_nicked_with_LacI	Lead_nicks_with_Geminin	Lag_nicks	Lead_nicks	Lead_nicks_with_BRC	Name
#!{Type}E	E	E	E	E	E	E	T
NaN	NaN	NaN	-2.06122779846191	NaN	NaN	NaN	adhx
-0.161089882254601	NaN	-1.67310285568237	-1.89974522590637	0.497574150562286	0.538074493408203	0.798544108867645	adk
NaN	NaN	NaN	-2.12731289863586	-1.14185523986816	0.719671964645386	0.422183334827423	adm1a
-0.197222664952278	-2.00161552429199	0.511336326599121	-0.435699790716171	0.699786305427551	0.69464510679245	0.728770315647125	adnp
NaN	NaN	NaN	-2.37141728401184	NaN	NaN	NaN	adnp2
-0.500836312770844	-1.14421319961548	0.589451849460602	1.87448620796204	-0.751046121120453	-0.112711414694786	0.0448689833283424	aff1
-0.397609144449234	-1.69212353229523	0.502060770988464	1.49900043010712	-0.504701852798462	0.452872425317764	0.140500903129578	aff4
NaN	NaN	NaN	-2.14137125015259	1.13454210758209	-0.381231904029846	-0.753310263156891	agm1
NaN	NaN	NaN	-2.16998720169067	NaN	NaN	NaN	ahsa1
NaN	NaN	NaN	-1.84339141845703	NaN	NaN	NaN	aibp
-1.17016398906708	NaN	-1.357302069664	0.423511028289795	0.807994067668915	0.406656950712204	0.889303982257843	aimp1
NaN	NaN	NaN	-2.2617723941803	NaN	-0.70710676908493	0.70710676908493	aimp2
NaN	NaN	NaN	-1.8098920583725	NaN	NaN	NaN	ak1a1
NaN	NaN	NaN	-1.98780751228333	NaN	NaN	NaN	al7a1
NaN	NaN	NaN	-1.66714525222778	NaN	NaN	NaN	al9a1
-0.763008713722229	0.542348861694336	-0.699630439281464	-1.57122695446014	0.651918172836304	0.764269709587097	1.07532930374146	aldcb
-0.538735687732697	-0.424294710159302	-0.533173739910126	-1.46629667282104	0.679275751113892	1.02442932128906	1.25879573822021	aldoa
-0.19613242149353	NaN	-1.11468434333801	-1.04006397724152	0.284692734479904	0.573930978775024	1.49225699901581	aldr
-1.41892957687378	-1.28199291229248	0.444906413555145	0.147840172052383	0.48538738489151	0.277066469192505	1.34572207927704	alkb5
NaN	NaN	NaN	-2.12759256362915	NaN	NaN	NaN	ampb
NaN	NaN	NaN	-2.46288537979126	-0.309316724538803	-0.808794975280762	1.11811172962189	ampl
1.66177940368652	NaN	-1.05333483219147	-2.19663834571838	-0.186560317873955	-0.261819332838058	-0.160064831376076	ampm1
0.520322322845459	NaN	NaN	-2.12588024139404	0.802259922027588	0.116857871413231	-1.43944013118744	an32a
0.496331095695496	-1.73917233943939	0.25107130408287	-1.03021442890167	0.403420269489288	0.552441954612732	1.066122174263	an32b
0.670437932014465	-1.96057450771332	-0.160326883196831	-0.528570830821991	0.554292857646942	0.513142228126526	0.911599159240723	an32e
NaN	NaN	NaN	-1.6056889295578	NaN	-0.70710676908493	0.70710676908493	anln
-1.31672477722168	NaN	-0.969519376754761	-0.244823858141899	0.809424698352814	0.606722235679626	1.11492109298706	anm1a
-0.33094796538353	-0.908407688140869	-1.25234365463257	-0.301211982965469	1.63501596450806	0.40211746096611	0.755777895450592	anm5
-1.49353730678558	NaN	NaN	-2.14813280105591	0.455568701028824	0.626488089561462	0.411480486392975	anx11
NaN	NaN	-1.07034039497375	-1.03483355045319	0.673945069313049	0.325050085783005	1.10617876052856	anxa1
-1.3742299079895	NaN	NaN	-2.3089873790741	0.22087362408638	0.130812883377075	1.02254343032837	anxa3
0.115362219512463	NaN	-1.68891477584839	-1.828120470047	0.826568782329559	0.0801916867494583	0.666792094707489	anxa4
-0.648744583129883	NaN	-1.44622218608856	-2.18595838546753	0.812713623046875	0.59121710062027	0.6910360455513	anxa5
-0.767292141914368	0.202400326728821	-1.10511982440948	-1.16733372211456	0.709611356258392	0.965977787971497	1.16175627708435	anxa7
-1.47529971599579	NaN	NaN	-2.02532124519348	0.257457584142685	0.520499587059021	0.69734251499176	ap1b1
NaN	NaN	NaN	-1.89725744724274	NaN	NaN	NaN	ap1g1
NaN	NaN	NaN	-2.08332419395447	NaN	NaN	NaN	ap1m1
NaN	NaN	NaN	-2.00851535797119	NaN	NaN	NaN	ap2a1
NaN	NaN	-0.846035599708557	-1.87980031967163	1.10358214378357	-0.257546544075012	NaN	ap2a2
